Items,group,,Code_item,Son,Question,Answer1,Answer2,Audio1,Audio2
1,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-1-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-1-Q-Focus.wav,是 哪 道 菜，张三 刚 吃 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-1-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-1-A-Topic.wav
1,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-1-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-1-Q-Topic.wav,哪 道 菜，张三 刚 吃 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-1-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-1-A-Topic.wav
1,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-1-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-1-Q-TopicM.wav,是 哪 道 菜，张三 刚 吃 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-1-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-1-A-Topic.wav
2,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-2-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-2-Q-Focus.wav,哪 个 人，李明 邀请 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-2-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-2-A-Focus.wav
2,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-2-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-2-Q-TopicM.wav,是 哪 个 人，李明 邀请 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-2-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-2-A-Focus.wav
2,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-2-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-2-Q-Topic.wav,哪 个 人，李明 邀请 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-2-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-2-A-Focus.wav
3,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-3-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-3-Q-Topic.wav,是 哪 本 书，张三 刚 看 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-3-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-3-A-Topic.wav
3,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-3-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-3-Q-TopicM.wav,哪 本 书，张三 刚 看 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-3-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-3-A-Topic.wav
3,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-3-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-3-Q-Focus.wav,是 哪 本 书，张三 刚 看 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-3-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-3-A-Topic.wav
4,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-4-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-4-Q-Topic.wav,哪 门 课，李明 之前 上 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-4-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-4-A-Focus.wav
4,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-4-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-4-Q-Focus.wav,是 哪 门 课，李明 之前 上 过 ？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-4-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-4-A-Focus.wav
4,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-4-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-4-Q-TopicM.wav,哪 门 课，李明 之前 上 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-4-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-4-A-Focus.wav
5,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-5-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-5-Q-TopicM.wav,是 哪 个 城市，张三 去 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-5-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-5-A-Topic.wav
5,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-5-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-5-Q-Focus.wav,哪 个 城市，张三 去 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-5-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-5-A-Topic.wav
5,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-5-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-5-Q-Topic.wav,是 哪 个 城市，张三 去 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-5-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-5-A-Topic.wav
6,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-6-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-6-Q-TopicM.wav,哪 种 水果，李明 最 喜欢？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-6-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-6-A-Focus.wav
6,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-6-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-6-Q-Topic.wav,是 哪 种 水果，李明 最 喜欢？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-6-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-6-A-Focus.wav
6,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-6-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-6-Q-Focus.wav,哪 种 水果，李明 最 喜欢？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-6-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-6-A-Focus.wav
7,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-7-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-7-Q-Focus.wav,是 哪 种 狗，张三 的 朋友 养 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-7-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-7-A-Topic.wav
7,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-7-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-7-Q-Topic.wav,哪 种 狗，张三 的 朋友 养 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-7-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-7-A-Topic.wav
7,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-7-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-7-Q-TopicM.wav,是 哪 种 狗，张三 的 朋友 养 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-7-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-7-A-Topic.wav
8,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-8-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-8-Q-Focus.wav,哪 位 老师，李明 最 喜欢？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-8-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-8-A-Focus.wav
8,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-8-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-8-Q-TopicM.wav,是 哪 位 老师，李明 最 喜欢？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-8-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-8-A-Focus.wav
8,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-8-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-8-Q-Topic.wav,哪 位 老师，李明 最 喜欢？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-8-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-8-A-Focus.wav
9,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-9-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-9-Q-Topic.wav,是 哪 部 电影，张三 过年 看 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-9-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-9-A-Topic.wav
9,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-9-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-9-Q-TopicM.wav,哪 部 电影，张三 过年 看 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-9-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-9-A-Topic.wav
9,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-9-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-9-Q-Focus.wav,是 哪 部 电影，张三 过年 看 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-9-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-9-A-Topic.wav
10,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-10-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-10-Q-Topic.wav,哪种 奶茶，李明 之前 点 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-10-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-10-A-Focus.wav
10,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-10-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-10-Q-Focus.wav,是 哪种 奶茶，李明 之前 点 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-10-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-10-A-Focus.wav
10,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-10-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-10-Q-TopicM.wav,哪种 奶茶，李明 之前 点 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-10-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-10-A-Focus.wav
11,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-11-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-11-Q-TopicM.wav,是 哪 家 公司，李四 很 讨厌？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-11-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-11-A-Topic.wav
11,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-11-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-11-Q-Focus.wav,哪 家 公司，李四 很 讨厌？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-11-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-11-A-Topic.wav
11,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-11-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-11-Q-Topic.wav,是 哪 家 公司，李四 很 讨厌？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-11-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-11-A-Topic.wav
12,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-12-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-12-Q-TopicM.wav,哪 首 歌，李明 经常 唱？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-12-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-12-A-Focus.wav
12,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-12-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-12-Q-Topic.wav,是 哪 首 歌，李明 经常 唱？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-12-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-12-A-Focus.wav
12,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-12-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-12-Q-Focus.wav,哪 首 歌，李明 经常 唱？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-12-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-12-A-Focus.wav
